base,entry_basis,exit_basis,hours,convergence,capture,adverse,funding,fee,pnl
SPY,11.3824,-0.1306,8,11.5130,21.0806,-0.0657,0.0678,-14.0000,18.5957
TSLA,35.7914,0.0000,13,35.7914,4.3698,-5.4198,0.6518,-14.0000,21.3932
TSLA,81.5532,-18.5582,3,100.1114,4.3698,-5.4198,0.1504,-14.0000,85.2118
TSLA,21.1960,-1.2842,4,22.4802,4.3698,-5.4198,0.2006,-14.0000,7.6308
TSLA,23.1162,-0.9631,1,24.0793,4.3698,-5.4198,0.0501,-14.0000,9.0794
TSLA,12.5229,-1.2846,2,13.8075,4.3698,-5.4198,0.1003,-14.0000,-1.1422
TSLA,11.8830,45.5581,31,-33.6751,4.3698,-5.4198,1.5543,-14.0000,-47.1708
TSLA,15.4934,-3.5469,1,19.0403,4.3698,-5.4198,0.0501,-14.0000,4.0404
TSLA,20.9738,-10.6270,3,31.6008,4.3698,-5.4198,0.1504,-14.0000,16.7012
TSLA,13.5725,-1.6154,1,15.1879,4.3698,-5.4198,0.0501,-14.0000,0.1880
TSLA,12.0142,46.8541,26,-34.8399,4.3698,-5.4198,1.3036,-14.0000,-48.5863
TSLA,15.4940,-12.4469,4,27.9409,4.3698,-5.4198,0.2006,-14.0000,13.0915
TSLA,22.4897,-15.9773,23,38.4670,4.3698,-5.4198,1.1532,-14.0000,24.5702
TSLA,11.7004,-2.0454,4,13.7458,4.3698,-5.4198,0.2006,-14.0000,-1.1036
TSLA,38.9858,-6.7063,25,45.6921,4.3698,-5.4198,1.2535,-14.0000,31.8956
TSLA,12.1169,-10.4680,1,22.5849,4.3698,-5.4198,0.0501,-14.0000,7.5850
TSLA,29.1198,-6.6253,7,35.7451,4.3698,-5.4198,0.3510,-14.0000,21.0461
TSLA,22.1576,0.0000,14,22.1576,4.3698,-5.4198,0.7020,-14.0000,7.8096
TSLA,21.8619,32.6260,15,-10.7641,4.3698,-5.4198,0.7521,-14.0000,-25.0620
TSLA,36.0729,33.4525,47,2.6204,4.3698,-5.4198,2.3566,-14.0000,-10.0730
TSLA,20.6617,15.4895,48,5.1722,4.3698,-5.4198,2.4067,-14.0000,-7.4711
TSLA,18.0297,7.8826,38,10.1471,4.3698,-5.4198,1.9053,-14.0000,-2.9976
TSLA,22.4781,-4.6517,4,27.1298,4.3698,-5.4198,0.2006,-14.0000,12.2804
TSLA,24.1533,10.3922,8,13.7611,4.3698,-5.4198,0.4011,-14.0000,-0.8878
