ts_utc,ts_ms,date_cn,symbol,venue,base,bid,ask,mid,spread_bp,bid_sz,ask_sz,last,usdt_vol_24h,source,in_ours_top
2026-09-12T16:37:46.701Z,1789231066701,2026-09-13,RAAPLUSDT,spot,AAPL,332.34,332.71,332.525,11.127,0.84,0.6468,332.32,7845.4652,b-side,1
2026-09-12T16:37:46.701Z,1789231066701,2026-09-13,RGOOGLUSDT,spot,GOOGL,339.02,339.28,339.15,7.6662,0.05,0.1475,339.3,169.648049,b-side,1
2026-09-12T16:37:46.701Z,1789231066701,2026-09-13,RHOODUSDT,spot,HOOD,112.14,112.37,112.255,20.4891,2.0344,1.432,112.14,1058154432.8052182,b-side,1
2026-09-12T16:37:46.701Z,1789231066701,2026-09-13,RMETAUSDT,spot,META,647.4,648.67,648.035,19.5977,7.8349,9.96,648.62,1343.86562,b-side,1
2026-09-12T16:37:46.701Z,1789231066701,2026-09-13,RMRVLUSDT,spot,MRVL,236.13,236.96,236.54500000000002,35.0885,1.068,1.056,236.96,2754.52503,b-side,1
2026-09-12T16:37:46.701Z,1789231066701,2026-09-13,RNVDAUSDT,spot,NVDA,218.91,219.05,218.98000000000002,6.3933,0.4446,0.2182,218.91,16874.113909,b-side,1
2026-09-12T16:37:46.701Z,1789231066701,2026-09-13,RQQQUSDT,spot,QQQ,714.59,715.09,714.84,6.9946,25.0339,19.3104,715.09,340.811894,b-side,1
2026-09-12T16:37:46.701Z,1789231066701,2026-09-13,RSOXLUSDT,spot,SOXL,122.27,122.28,122.275,0.8178,5.0,200.0,122.28,2894773969.214765,b-side,1
2026-09-12T16:37:46.701Z,1789231066701,2026-09-13,RSPYUSDT,spot,SPY,764.34,765.72,765.03,18.0385,20.3839,28.0669,765.72,25176602920.071472,b-side,1
2026-09-12T16:37:46.701Z,1789231066701,2026-09-13,RTSLAUSDT,spot,TSLA,365.74,365.76,365.75,0.5468,0.375,94.0988,365.76,3501.848905,b-side,1
2026-09-12T16:37:46.701Z,1789231066701,2026-09-13,SOXLUSDT,perp,SOXL,122.8,122.81,122.805,0.8143,21.85,9.29,122.82,14652860.087,b-side,1
2026-09-12T16:37:46.701Z,1789231066701,2026-09-13,SPYUSDT,perp,SPY,766.01,766.02,766.015,0.1305,0.15,2715.71,766.0,285795.2044,b-side,1
2026-09-12T16:37:46.701Z,1789231066701,2026-09-13,TSLAUSDT,perp,TSLA,366.12,366.15,366.135,0.8194,0.12,176.4,366.11,1371222.2827,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,AAPLUSDT,perp,AAPL,333.8,333.81,333.805,0.2996,21.24,0.35,333.82,1342433.1144,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,GOOGLUSDT,perp,GOOGL,339.86,339.89,339.875,0.8827,6.79,172.41,339.82,1023022.2267,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,HOODUSDT,perp,HOOD,112.51,112.53,112.52000000000001,1.7775,117.15,80.15,112.5,356585.4222,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,METAUSDT,perp,META,650.07,650.12,650.095,0.7691,0.07,0.07,650.1,489262.9702,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,MRVLUSDT,perp,MRVL,237.48,237.5,237.49,0.8421,0.23,136.08,237.51,1420784.2682,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,NVDAUSDT,perp,NVDA,219.48,219.49,219.485,0.4556,81.12,692.1,219.46,2546937.2123,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,QQQUSDT,perp,QQQ,716.49,716.5,716.495,0.1396,0.07,0.91,716.51,1569627.7877,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,RAAPLUSDT,spot,AAPL,332.34,332.71,332.525,11.127,0.84,0.6468,332.32,7845.4652,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,RGOOGLUSDT,spot,GOOGL,339.02,339.28,339.15,7.6662,0.05,0.1475,339.3,169.648049,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,RHOODUSDT,spot,HOOD,112.14,112.37,112.255,20.4891,2.0344,1.432,112.14,1058154432.8052182,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,RMETAUSDT,spot,META,647.4,648.67,648.035,19.5977,7.8349,9.96,648.62,1343.86562,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,RMRVLUSDT,spot,MRVL,236.13,236.96,236.54500000000002,35.0885,1.068,1.056,236.96,2754.52503,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,RNVDAUSDT,spot,NVDA,218.91,219.05,218.98000000000002,6.3933,0.2189,0.4412,219.05,17022.357331,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,RQQQUSDT,spot,QQQ,714.59,715.09,714.84,6.9946,25.0339,19.3104,715.09,340.811894,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,RSOXLUSDT,spot,SOXL,122.27,122.28,122.275,0.8178,5.0,200.0,122.28,2894773969.214765,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,RSPYUSDT,spot,SPY,764.34,765.72,765.03,18.0385,20.3839,28.0669,765.72,25176602920.071472,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,RTSLAUSDT,spot,TSLA,365.74,365.76,365.75,0.5468,0.375,94.0988,365.76,3501.848905,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,SOXLUSDT,perp,SOXL,122.83,122.84,122.83500000000001,0.8141,14.24,86.74,122.83,14592711.4499,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,SPYUSDT,perp,SPY,766.01,766.02,766.015,0.1305,0.15,2715.71,766.0,285795.2044,b-side,1
2026-09-12T16:38:46.715Z,1789231126715,2026-09-13,TSLAUSDT,perp,TSLA,366.12,366.15,366.135,0.8194,0.12,176.4,366.11,1370432.4541,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,AAPLUSDT,perp,AAPL,333.88,333.89,333.885,0.2995,0.31,263.56,333.88,1342873.4399,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,GOOGLUSDT,perp,GOOGL,339.86,339.89,339.875,0.8827,6.79,116.79,339.82,1020568.7516,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,HOODUSDT,perp,HOOD,112.51,112.52,112.515,0.8888,21.16,78.07,112.5,356585.4222,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,METAUSDT,perp,META,650.11,650.17,650.14,0.9229,0.07,0.07,650.12,482739.513,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,MRVLUSDT,perp,MRVL,237.48,237.49,237.485,0.4211,0.2,3.81,237.51,1415875.7029,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,NVDAUSDT,perp,NVDA,219.48,219.49,219.485,0.4556,79.79,514.12,219.46,2531301.4798,b-side,1
2026-09-12T16:39:46.728Z,1789231186728,2026-09-13,QQQUSDT,perp,QQQ,716.46,716.47,716.465,0.1396,0.5,0.07,716.51,1536772.624,b-side,1
