ts_ms,ts_utc,spot_symbol,perp_symbol,spot_close,perp_close,basis_bp,spot_lag_bars
1789032600000,2026-09-10T09:30:00Z,RAAPLUSDT,AAPLUSDT,318.69,318.98,9.099752,0
1789032900000,2026-09-10T09:35:00Z,RAAPLUSDT,AAPLUSDT,318.7,318.85,4.706621,0
1789033200000,2026-09-10T09:40:00Z,RAAPLUSDT,AAPLUSDT,318.96,319.48,16.302985,0
1789033500000,2026-09-10T09:45:00Z,RAAPLUSDT,AAPLUSDT,319.0,319.24,7.523511,0
1789033800000,2026-09-10T09:50:00Z,RAAPLUSDT,AAPLUSDT,318.76,319.07,9.725185,0
1789034100000,2026-09-10T09:55:00Z,RAAPLUSDT,AAPLUSDT,318.9,319.27,11.602383,0
1789034400000,2026-09-10T10:00:00Z,RAAPLUSDT,AAPLUSDT,318.93,319.52,18.499357,0
1789034700000,2026-09-10T10:05:00Z,RAAPLUSDT,AAPLUSDT,318.92,319.27,10.974539,0
1789035000000,2026-09-10T10:10:00Z,RAAPLUSDT,AAPLUSDT,318.9988,319.33,10.382484,0
1789035300000,2026-09-10T10:15:00Z,RAAPLUSDT,AAPLUSDT,318.913,319.4,15.270622,0
1789035600000,2026-09-10T10:20:00Z,RAAPLUSDT,AAPLUSDT,319.037,319.37,10.437661,0
1789035900000,2026-09-10T10:25:00Z,RAAPLUSDT,AAPLUSDT,319.12,319.55,13.474555,0
1789036200000,2026-09-10T10:30:00Z,RAAPLUSDT,AAPLUSDT,319.0,319.38,11.912226,0
1789036500000,2026-09-10T10:35:00Z,RAAPLUSDT,AAPLUSDT,319.45,319.79,10.643293,0
1789036800000,2026-09-10T10:40:00Z,RAAPLUSDT,AAPLUSDT,319.62,319.9,8.760403,0
1789037100000,2026-09-10T10:45:00Z,RAAPLUSDT,AAPLUSDT,319.42,319.79,11.583495,0
1789037400000,2026-09-10T10:50:00Z,RAAPLUSDT,AAPLUSDT,319.4,319.72,10.018785,0
1789037700000,2026-09-10T10:55:00Z,RAAPLUSDT,AAPLUSDT,319.0381,319.39,11.030031,0
1789038000000,2026-09-10T11:00:00Z,RAAPLUSDT,AAPLUSDT,318.82,319.25,13.487234,0
1789038300000,2026-09-10T11:05:00Z,RAAPLUSDT,AAPLUSDT,318.62,319.07,14.123407,0
1789038600000,2026-09-10T11:10:00Z,RAAPLUSDT,AAPLUSDT,318.84,319.37,16.622757,0
1789038900000,2026-09-10T11:15:00Z,RAAPLUSDT,AAPLUSDT,318.8,319.22,13.174404,0
1789039200000,2026-09-10T11:20:00Z,RAAPLUSDT,AAPLUSDT,318.7,319.15,14.119862,0
1789039500000,2026-09-10T11:25:00Z,RAAPLUSDT,AAPLUSDT,318.32,318.78,14.450867,0
1789039800000,2026-09-10T11:30:00Z,RAAPLUSDT,AAPLUSDT,318.47,318.88,12.874054,0
1789040100000,2026-09-10T11:35:00Z,RAAPLUSDT,AAPLUSDT,318.35,318.87,16.334223,0
1789040400000,2026-09-10T11:40:00Z,RAAPLUSDT,AAPLUSDT,318.1,318.55,14.146495,0
1789040700000,2026-09-10T11:45:00Z,RAAPLUSDT,AAPLUSDT,317.7234,318.15,13.426773,0
1789041000000,2026-09-10T11:50:00Z,RAAPLUSDT,AAPLUSDT,317.38,317.69,9.767471,0
1789041300000,2026-09-10T11:55:00Z,RAAPLUSDT,AAPLUSDT,317.6,317.91,9.760705,0
1789041600000,2026-09-10T12:00:00Z,RAAPLUSDT,AAPLUSDT,318.18,318.38,6.28575,0
1789041900000,2026-09-10T12:05:00Z,RAAPLUSDT,AAPLUSDT,317.8,318.02,6.922593,0
1789042200000,2026-09-10T12:10:00Z,RAAPLUSDT,AAPLUSDT,318.07,318.28,6.60232,0
1789042500000,2026-09-10T12:15:00Z,RAAPLUSDT,AAPLUSDT,317.63,317.9,8.500457,0
1789042800000,2026-09-10T12:20:00Z,RAAPLUSDT,AAPLUSDT,317.65,317.99,10.703605,0
1789043100000,2026-09-10T12:25:00Z,RAAPLUSDT,AAPLUSDT,317.85,318.18,10.382256,0
1789043400000,2026-09-10T12:30:00Z,RAAPLUSDT,AAPLUSDT,316.9221,317.16,7.506577,0
1789043700000,2026-09-10T12:35:00Z,RAAPLUSDT,AAPLUSDT,316.6265,316.96,10.532915,0
1789044000000,2026-09-10T12:40:00Z,RAAPLUSDT,AAPLUSDT,316.52,316.82,9.478074,0
1789044300000,2026-09-10T12:45:00Z,RAAPLUSDT,AAPLUSDT,316.86,317.03,5.365145,0
1789044600000,2026-09-10T12:50:00Z,RAAPLUSDT,AAPLUSDT,317.3145,317.56,7.736804,0
1789044900000,2026-09-10T12:55:00Z,RAAPLUSDT,AAPLUSDT,316.655,316.92,8.368729,0
1789045200000,2026-09-10T13:00:00Z,RAAPLUSDT,AAPLUSDT,317.425,317.91,15.2792,0
1789045500000,2026-09-10T13:05:00Z,RAAPLUSDT,AAPLUSDT,317.125,317.52,12.455656,0
1789045800000,2026-09-10T13:10:00Z,RAAPLUSDT,AAPLUSDT,317.1948,317.61,13.089748,0
1789046100000,2026-09-10T13:15:00Z,RAAPLUSDT,AAPLUSDT,317.3,317.59,9.139616,0
1789046400000,2026-09-10T13:20:00Z,RAAPLUSDT,AAPLUSDT,317.39,317.63,7.561675,0
1789046700000,2026-09-10T13:25:00Z,RAAPLUSDT,AAPLUSDT,316.6,316.99,12.318383,0
1789047000000,2026-09-10T13:30:00Z,RAAPLUSDT,AAPLUSDT,319.4,319.75,10.958046,0
1789047300000,2026-09-10T13:35:00Z,RAAPLUSDT,AAPLUSDT,320.7,320.9,6.236358,0
1789047600000,2026-09-10T13:40:00Z,RAAPLUSDT,AAPLUSDT,319.94,320.27,10.314434,0
1789047900000,2026-09-10T13:45:00Z,RAAPLUSDT,AAPLUSDT,320.1399,320.42,8.7493,0
1789048200000,2026-09-10T13:50:00Z,RAAPLUSDT,AAPLUSDT,319.1,319.43,10.341586,0
1789048500000,2026-09-10T13:55:00Z,RAAPLUSDT,AAPLUSDT,318.929,319.24,9.751387,0
1789048800000,2026-09-10T14:00:00Z,RAAPLUSDT,AAPLUSDT,319.12,319.57,14.101279,0
1789049100000,2026-09-10T14:05:00Z,RAAPLUSDT,AAPLUSDT,318.715,319.09,11.765998,0
1789049400000,2026-09-10T14:10:00Z,RAAPLUSDT,AAPLUSDT,319.34,319.68,10.646959,0
1789049700000,2026-09-10T14:15:00Z,RAAPLUSDT,AAPLUSDT,319.85,320.17,10.00469,0
1789050000000,2026-09-10T14:20:00Z,RAAPLUSDT,AAPLUSDT,319.67,319.95,8.759033,0
1789050300000,2026-09-10T14:25:00Z,RAAPLUSDT,AAPLUSDT,318.955,319.22,8.308382,0
1789050600000,2026-09-10T14:30:00Z,RAAPLUSDT,AAPLUSDT,319.08,319.49,12.849442,0
1789050900000,2026-09-10T14:35:00Z,RAAPLUSDT,AAPLUSDT,319.8494,320.09,7.52229,0
1789051200000,2026-09-10T14:40:00Z,RAAPLUSDT,AAPLUSDT,320.065,320.28,6.717386,0
1789051500000,2026-09-10T14:45:00Z,RAAPLUSDT,AAPLUSDT,320.6477,320.93,8.804055,0
1789051800000,2026-09-10T14:50:00Z,RAAPLUSDT,AAPLUSDT,321.89,322.09,6.213303,0
1789052100000,2026-09-10T14:55:00Z,RAAPLUSDT,AAPLUSDT,323.0101,323.21,6.188661,0
1789052400000,2026-09-10T15:00:00Z,RAAPLUSDT,AAPLUSDT,323.0301,323.3,8.355259,0
1789052700000,2026-09-10T15:05:00Z,RAAPLUSDT,AAPLUSDT,322.5,322.83,10.232558,0
1789053000000,2026-09-10T15:10:00Z,RAAPLUSDT,AAPLUSDT,321.94,322.18,7.454805,0
1789053300000,2026-09-10T15:15:00Z,RAAPLUSDT,AAPLUSDT,321.73,321.94,6.527212,0
1789053600000,2026-09-10T15:20:00Z,RAAPLUSDT,AAPLUSDT,322.96,323.17,6.502353,0
1789053900000,2026-09-10T15:25:00Z,RAAPLUSDT,AAPLUSDT,323.71,323.93,6.796206,0
1789054200000,2026-09-10T15:30:00Z,RAAPLUSDT,AAPLUSDT,323.8959,323.97,2.287772,0
1789054500000,2026-09-10T15:35:00Z,RAAPLUSDT,AAPLUSDT,323.75,323.89,4.324324,0
1789054800000,2026-09-10T15:40:00Z,RAAPLUSDT,AAPLUSDT,322.49,322.65,4.961394,0
1789055100000,2026-09-10T15:45:00Z,RAAPLUSDT,AAPLUSDT,320.06,320.38,9.998125,0
1789055400000,2026-09-10T15:50:00Z,RAAPLUSDT,AAPLUSDT,319.855,320.25,12.349346,0
1789055700000,2026-09-10T15:55:00Z,RAAPLUSDT,AAPLUSDT,319.57,319.94,11.578058,0
1789056000000,2026-09-10T16:00:00Z,RAAPLUSDT,AAPLUSDT,319.62,319.97,10.950504,0
1789056300000,2026-09-10T16:05:00Z,RAAPLUSDT,AAPLUSDT,320.1,320.44,10.621681,0
1789056600000,2026-09-10T16:10:00Z,RAAPLUSDT,AAPLUSDT,320.135,320.49,11.089072,0
1789056900000,2026-09-10T16:15:00Z,RAAPLUSDT,AAPLUSDT,320.3601,320.74,11.85853,0
1789057200000,2026-09-10T16:20:00Z,RAAPLUSDT,AAPLUSDT,320.4899,320.79,9.36379,0
