ts_ms,ts_utc,base,venue,side,slip_target_bp,capacity_usd,actual_slip_bp,best_price
1789233934546,2026-09-12T17:25:34Z,QQQ,perp,ask,1.0,242341.13,0.0957,716.47
1789233934546,2026-09-12T17:25:34Z,QQQ,perp,ask,5.0,242341.13,0.0957,716.47
1789233934546,2026-09-12T17:25:34Z,SOXL,perp,bid,1.0,1288.93,0.4096,122.76
1789233934546,2026-09-12T17:25:34Z,SOXL,perp,bid,5.0,153958.8,2.5136,122.76
1789233934546,2026-09-12T17:25:34Z,SOXL,perp,ask,1.0,265895.64,0.7069,122.77
1789233934546,2026-09-12T17:25:34Z,SOXL,perp,ask,5.0,326717.3,1.1817,122.77
1789233934546,2026-09-12T17:25:34Z,SPY,perp,bid,1.0,27978.38,0.8934,765.97
1789233934546,2026-09-12T17:25:34Z,SPY,perp,bid,5.0,38370.83,1.1111,765.97
1789233934546,2026-09-12T17:25:34Z,SPY,perp,ask,1.0,2523442.79,0.2056,765.98
1789233934546,2026-09-12T17:25:34Z,SPY,perp,ask,5.0,2523442.79,0.2056,765.98
1789233934546,2026-09-12T17:25:34Z,TSLA,perp,bid,1.0,746.66,0.8357,366.04
1789233934546,2026-09-12T17:25:34Z,TSLA,perp,bid,5.0,746.66,0.8357,366.04
1789233934546,2026-09-12T17:25:34Z,TSLA,perp,ask,1.0,262664.87,0.7853,366.07
1789233934546,2026-09-12T17:25:34Z,TSLA,perp,ask,5.0,262664.87,0.7853,366.07
1789233964551,2026-09-12T17:26:04Z,AAPL,perp,bid,1.0,174305.8,0.3286,333.7
1789233964551,2026-09-12T17:26:04Z,AAPL,perp,bid,5.0,174305.8,0.3286,333.7
1789233964551,2026-09-12T17:26:04Z,AAPL,perp,ask,1.0,2910.1,0.4986,333.71
1789233964551,2026-09-12T17:26:04Z,AAPL,perp,ask,5.0,172264.86,1.187,333.71
1789233964551,2026-09-12T17:26:04Z,GOOGL,perp,bid,1.0,9000.2,0.9781,339.92
1789233964551,2026-09-12T17:26:04Z,GOOGL,perp,bid,5.0,9000.2,0.9781,339.92
1789233964551,2026-09-12T17:26:04Z,GOOGL,perp,ask,1.0,92421.27,0.4866,339.93
1789233964551,2026-09-12T17:26:04Z,GOOGL,perp,ask,5.0,92421.27,0.4866,339.93
1789233964551,2026-09-12T17:26:04Z,HOOD,perp,bid,1.0,4305.32,0.0646,112.47
1789233964551,2026-09-12T17:26:04Z,HOOD,perp,bid,5.0,18778.72,4.9986,112.47
1789233964551,2026-09-12T17:26:04Z,HOOD,perp,ask,1.0,195431.46,0.7335,112.48
1789233964551,2026-09-12T17:26:04Z,HOOD,perp,ask,5.0,220066.59,1.0494,112.48
